Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs)
Salesforce Uk Ltd-Uk,Sales,"$3,117,226","CRM platform for sales pipeline management, forecasting, and customer engagement in the UK.",
Navan (Tripactions Inc),G&A,"$357,984",Corporate travel and expense management platform for employee business travel booking.,
Bdo Llp,Finance,"$343,081",External audit and accounting advisory services firm providing assurance and tax services.,
Tog Uk Properties Limited,Facilities,"$263,821",UK flexible office space and co-working facility provider for office accommodation.,
Cloudcrossing Bvba,Engineering,"$208,675",Cloud networking and connectivity solutions provider for infrastructure integration in Europe.,
Zagrebtower D.O.O.,Facilities,"$183,754",Croatian commercial office space landlord providing leased premises in Zagreb.,
Innovent Spaces Private Limited,Facilities,"$147,348",India-based managed office and co-working space provider for local team operations.,
Weking D.O.O.,Facilities,"$144,093",Croatian co-working and flexible office space provider for local team accommodation.,
Jensten Insurance Brokers,G&A,"$142,700",UK commercial insurance brokerage providing corporate insurance coverage and risk placement.,
Gpt Space & Co,Facilities,"$133,507",Australian commercial office space and property management provider for workplace accommodation.,
Aetna Life And Casualty Ltd,G&A,"$124,661",International group health and life insurance provider for employee benefits programs.,
Rsm Uk Corporate Finance Llp,Finance,"$117,078",UK corporate finance advisory firm providing transaction support and financial due diligence.,
Amazon Web Services Llc,Engineering,"$106,399","Cloud infrastructure platform providing compute, storage, and managed services for product hosting.",
Telefonica Global Services Gmbh,Engineering,"$89,880",Global managed telecoms and network connectivity services provider for enterprise infrastructure.,
Hr Solution International Gmbh,G&A,"$80,823",European HR outsourcing and payroll administration services provider for international workforce.,
4I Advisory Services,Professional Services,"$71,860",Technology and business advisory consulting firm providing strategic transformation services.,
Bisley Law Ltd,Legal,"$67,414",UK boutique law firm providing commercial legal advisory and contract services.,
Infosys,Engineering,"$66,570",Global IT services and software development outsourcing firm for technology delivery.,
Big Frontier Pty Ltd (Cult Of Monday),Product,"$66,131",Australian product design and UX agency providing digital product design services.,
Harmonic Group Limited,Finance,"$65,418",UK finance and accounting outsourcing firm providing bookkeeping and CFO advisory services.,
Wework Singapore Pte. Ltd.,Facilities,"$64,373",Singapore co-working and flexible office space provider for APAC team accommodation.,
Cloud Technology Solutions Ltd,Engineering,"$60,661",UK Google Cloud managed services and migration consultancy for cloud infrastructure.,
"Navan, Inc",G&A,"$57,929",US-entity corporate travel and expense management platform for employee business travel.,
Tmforum,Marketing,"$57,560","Telecom industry association providing standards membership, events, and thought leadership access.",
Linkedin Ireland Limited,Marketing,"$55,573",Professional social network platform for B2B digital advertising and talent recruitment.,
Kimble Applications Ltd,Professional Services,"$52,825",Professional services automation (PSA) software for resource management and project delivery tracking.,
Sage Uk Limited,Finance,"$46,895",UK cloud accounting and financial management software for business reporting and payroll.,
