Vendor Name,Department,Last 12 months Cost (USD),1-line Description on what the Vendor does,Suggestions (Consolidate / Terminate / Optimize costs),Recommendation Rationale
Salesforce Uk Ltd-Uk,Sales,"$3,117,226","CRM platform for sales pipeline management, forecasting, and customer engagement in the UK.",Optimize,"Critical CRM platform; high spend at $3.1M warrants contract renegotiation, seat audit, and license optimization."
Navan (Tripactions Inc),G&A,"$357,984",Corporate travel and expense management platform for employee business travel booking.,Consolidate,"Duplicate travel platform with Navan, Inc (US entity); consolidate to a single global contract to reduce costs."
Bdo Llp,Finance,"$343,081",External audit and accounting advisory services firm providing assurance and tax services.,Optimize,Overlaps with Grant Thornton in audit/advisory; retain as primary auditor but renegotiate fees competitively.
Tog Uk Properties Limited,Facilities,"$263,821",UK flexible office space and co-working facility provider for office accommodation.,Optimize,"Active UK office facility; review lease terms, space utilization, and renegotiate for cost efficiency."
Cloudcrossing Bvba,Engineering,"$208,675",Cloud networking and connectivity solutions provider for infrastructure integration in Europe.,Optimize,"Engineering cloud networking infrastructure; review usage, benchmark pricing, and renegotiate contract terms."
Zagrebtower D.O.O.,Facilities,"$183,754",Croatian commercial office space landlord providing leased premises in Zagreb.,Consolidate,Overlaps with Weking D.O.O. as Croatian office space; consolidate into one Zagreb location to reduce costs.
Innovent Spaces Private Limited,Facilities,"$147,348",India-based managed office and co-working space provider for local team operations.,Optimize,India managed office for local ops; review space utilization and renegotiate lease terms.
Weking D.O.O.,Facilities,"$144,093",Croatian co-working and flexible office space provider for local team accommodation.,Consolidate,Overlaps with Zagrebtower D.O.O. in Croatian office space; consolidate to single Zagreb facility.
Jensten Insurance Brokers,G&A,"$142,700",UK commercial insurance brokerage providing corporate insurance coverage and risk placement.,Optimize,Corporate insurance brokerage is compliance-critical; review coverage scope and benchmark broker fees.
Gpt Space & Co,Facilities,"$133,507",Australian commercial office space and property management provider for workplace accommodation.,Optimize,"Australian office space for local team; review headcount needs, utilization, and renegotiate lease."
Aetna Life And Casualty Ltd,G&A,"$124,661",International group health and life insurance provider for employee benefits programs.,Optimize,Employee health benefits provider; benchmark premiums against competitors and review plan design for savings.
Rsm Uk Corporate Finance Llp,Finance,"$117,078",UK corporate finance advisory firm providing transaction support and financial due diligence.,Optimize,Corporate finance advisory; verify ongoing engagement need post-acquisition and renegotiate if retained.
Amazon Web Services Llc,Engineering,"$106,399","Cloud infrastructure platform providing compute, storage, and managed services for product hosting.",Optimize,"Core cloud infrastructure; negotiate reserved instances, review unused resources, and leverage committed spend."
Telefonica Global Services Gmbh,Engineering,"$89,880",Global managed telecoms and network connectivity services provider for enterprise infrastructure.,Optimize,Managed telecom/network services; review overlap with other network vendors and renegotiate contract.
Hr Solution International Gmbh,G&A,"$80,823",European HR outsourcing and payroll administration services provider for international workforce.,Optimize,"European HR/payroll outsourcing; review scope, benchmark pricing, and assess consolidation with global HR platform."
4I Advisory Services,Professional Services,"$71,860",Technology and business advisory consulting firm providing strategic transformation services.,Terminate,Professional services consulting; likely project-based — terminate if engagement is complete or non-recurring.
Bisley Law Ltd,Legal,"$67,414",UK boutique law firm providing commercial legal advisory and contract services.,Optimize,"Legal advisory vendor; review engagement scope, hourly rates, and benchmark against panel firms."
Infosys,Engineering,"$66,570",Global IT services and software development outsourcing firm for technology delivery.,Optimize,"IT services outsourcing; review SOW deliverables, benchmark rates, and assess in-house capability overlap."
Big Frontier Pty Ltd (Cult Of Monday),Product,"$66,131",Australian product design and UX agency providing digital product design services.,Terminate,External UX/design agency; assess if product design can be handled by in-house team at this scale.
Harmonic Group Limited,Finance,"$65,418",UK finance and accounting outsourcing firm providing bookkeeping and CFO advisory services.,Consolidate,Finance outsourcing overlaps with BDO and Grant Thornton advisory; consolidate accounting services.
Wework Singapore Pte. Ltd.,Facilities,"$64,373",Singapore co-working and flexible office space provider for APAC team accommodation.,Optimize,"APAC co-working space; review headcount utilization, downsize if underused, and renegotiate terms."
Cloud Technology Solutions Ltd,Engineering,"$60,661",UK Google Cloud managed services and migration consultancy for cloud infrastructure.,Optimize,Google Cloud managed services; verify ongoing need post-migration and renegotiate or terminate if complete.
"Navan, Inc",G&A,"$57,929",US-entity corporate travel and expense management platform for employee business travel.,Consolidate,Duplicate travel platform with Navan (Tripactions); consolidate into single global contract entity.
Tmforum,Marketing,"$57,560","Telecom industry association providing standards membership, events, and thought leadership access.",Optimize,Industry association membership; review event attendance ROI and negotiate membership tier downgrade.
Linkedin Ireland Limited,Marketing,"$55,573",Professional social network platform for B2B digital advertising and talent recruitment.,Optimize,"B2B advertising and recruiting platform; review ad spend ROI, optimize campaigns, and audit seat licenses."
Kimble Applications Ltd,Professional Services,"$52,825",Professional services automation (PSA) software for resource management and project delivery tracking.,Optimize,"PSA software for professional services; review license count, utilization, and renegotiate renewal terms."
Sage Uk Limited,Finance,"$46,895",UK cloud accounting and financial management software for business reporting and payroll.,Consolidate,Overlaps with Planful in financial management; consolidate to single finance platform to reduce tool sprawl.
Grant Thornton,Finance,"$46,539","Global audit, tax, and advisory firm providing assurance and financial consulting services.",Consolidate,Overlaps with BDO in audit/tax/advisory; consolidate to one primary audit firm to reduce redundancy.
"SveuäIliå¡Te U Zagrebu, Studentski Centar",Facilities,"$44,299",Croatian university student center providing event and accommodation space in Zagreb,Optimize,Zagreb student center venue; renegotiate lease or consolidate with other local co-working space contracts.
Ss&C Intralinks Inc,M&A,"$39,966",Secure virtual data room platform for M&A due diligence and confidential document sharing.,Optimize,M&A virtual data room; essential for deal activity — review subscription tier and negotiate usage-based pricing.
Veniture D.O.O.,Professional Services,"$39,342",Croatian IT and business consulting services firm providing local professional project support.,Terminate,Croatian IT consulting; likely project-based engagement — terminate if deliverables are complete.
